2025-11-23 21:03:25 - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-11-23 21:03:25 - [33mPress CTRL+C to quit[0m
2025-11-23 21:03:27 - 127.0.0.1 - - [23/Nov/2025 21:03:27] "GET / HTTP/1.1" 200 -
2025-11-23 21:03:28 - 127.0.0.1 - - [23/Nov/2025 21:03:28] "[36mGET /static/shi.png HTTP/1.1[0m" 304 -
2025-11-23 21:03:28 - 127.0.0.1 - - [23/Nov/2025 21:03:28] "[36mGET /static/vinyl.png HTTP/1.1[0m" 304 -
2025-11-23 21:03:30 - 127.0.0.1 - - [23/Nov/2025 21:03:30] "GET /player HTTP/1.1" 200 -
2025-11-23 21:03:30 - 127.0.0.1 - - [23/Nov/2025 21:03:30] "[36mGET /static/shi.png HTTP/1.1[0m" 304 -
2025-11-23 21:03:30 - 127.0.0.1 - - [23/Nov/2025 21:03:30] "GET /api/playlist HTTP/1.1" 200 -
2025-11-23 21:03:30 - 127.0.0.1 - - [23/Nov/2025 21:03:30] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:30 - 127.0.0.1 - - [23/Nov/2025 21:03:30] "[36mGET /static/vinyl.png HTTP/1.1[0m" 304 -
2025-11-23 21:03:30 - 127.0.0.1 - - [23/Nov/2025 21:03:30] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:30 - 127.0.0.1 - - [23/Nov/2025 21:03:30] "GET /api/playlist HTTP/1.1" 200 -
2025-11-23 21:03:30 - 127.0.0.1 - - [23/Nov/2025 21:03:30] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:30 - 127.0.0.1 - - [23/Nov/2025 21:03:30] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:31 - 127.0.0.1 - - [23/Nov/2025 21:03:31] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:31 - 127.0.0.1 - - [23/Nov/2025 21:03:31] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:31 - 127.0.0.1 - - [23/Nov/2025 21:03:31] "GET /api/state HTTP/1.1" 200 -
